"","X","topic","term","beta"
"50",28785,5,"asset",0.00781908567198578
"51",34446,6,"investment",0.0241171869282064
"52",12806,6,"property",0.0214438443163814
"53",11426,6,"partnership",0.0160521804694094
"54",8186,6,"interest",0.0138491269191017
"55",28786,6,"asset",0.0115062655396286
"56",38186,6,"income",0.0111578914571222
"57",7006,6,"fund",0.00985965932929698
"58",8806,6,"lease",0.00947448455498164
"59",46726,6,"tax",0.00860959579807903
"60",23626,6,"real",0.00841886439537823
"61",14967,7,"service",0.0221533773980285
"62",57967,7,"care",0.0166652411784063
"63",21687,7,"health",0.0163233781119405
"64",12707,7,"program",0.0151708464043625
"65",15607,7,"state",0.01371021826049
"66",88967,7,"healthcare",0.0091142988264529
"67",12887,7,"provide",0.00887800942011207
"68",8767,7,"law",0.00863421204012997
"69",6247,7,"facility",0.00837347359141886
"70",79147,7,"hospital",0.00807812145910006
"71",2248,8,"business",0.0288552876755381
"72",15008,8,"share",0.0247541696019737
"73",28248,8,"stock",0.0197728631403568
"74",648,8,"agreement",0.0165990174225056
"75",3168,8,"common",0.012799686366947
"76",56108,8,"president",0.0126667620251583
"77",30508,8,"officer",0.0122869239107947
"78",4788,8,"director",0.0121105252666534
"79",102048,8,"vice",0.00902638289808464
"80",29188,8,"combination",0.00786207585379809
"81",12649,9,"product",0.0231716798367387
"82",85249,9,"device",0.0144868334716566
"83",9589,9,"market",0.0130956681500188
"84",24909,9,"test",0.0104628867010648
"85",9669,9,"medical",0.00951536818218415
"86",78629,9,"fda",0.00910702861210191
"87",90849,9,"patient",0.00804634588592969
"88",50589,9,"technology",0.007007088916338
"89",23009,9,"patent",0.00651244277749472
"90",7849,9,"include",0.00593351624807809
"91",14970,10,"service",0.0377736057639604
"92",10470,10,"network",0.0191994238867265
"93",2290,10,"cable",0.0137383522223122
"94",6350,10,"fcc",0.0105270333252983
"95",15650,10,"station",0.0104039853858543
"96",4310,10,"customer",0.0101411290998404
"97",9190,10,"local",0.00982230798904222
"98",3190,10,"communication",0.00953924794493347
"99",9590,10,"market",0.00930700844223366
"100",12890,10,"provide",0.00818526426333049
"101",34391,11,"insurance",0.0362753387132688
"102",9371,11,"loss",0.0129290323734083
"103",2251,11,"business",0.0126152273762657
"104",23971,11,"risk",0.010478202254932
"105",15611,11,"state",0.00958494267873913
"106",6611,11,"financial",0.00913274930383399
"107",27111,11,"life",0.00899716609589097
"108",27611,11,"policy",0.00889075665407086
"109",12651,11,"product",0.00832761881280407
"110",32831,11,"claim",0.00826300640129467
"111",26472,12,"energy",0.0175389979994173
"112",27692,12,"power",0.0152427983862019
"113",26692,12,"gas",0.012873317231168
"114",28532,12,"utility",0.0104536872640537
"115",4032,12,"cost",0.0103646044943968
"116",14972,12,"service",0.0101969173116793
"117",4312,12,"customer",0.0101794757021373
"118",26412,12,"electric",0.00990231814858995
"119",6252,12,"facility",0.00928838018814736
"120",13152,12,"rate",0.00896750144062338
"121",12653,13,"product",0.0283636257749776
"122",9593,13,"market",0.0130179766415986
"123",21213,13,"food",0.00941618821155487
"124",58213,13,"china",0.00879303857004032
"125",14513,13,"sale",0.00805157534303398
"126",12673,13,"production",0.00700313314171875
"127",15613,13,"state",0.006851470208922
"128",14853,13,"sell",0.00638569884771053
"129",23433,13,"process",0.00633979930433498
"130",653,13,"agreement",0.00619774051219318
"131",14974,14,"service",0.0194051621116374
"132",3914,14,"contract",0.013085526539413
"133",68174,14,"vehicle",0.0125422290539473
"134",4314,14,"customer",0.0110997141232194
"135",5694,14,"equipment",0.0108811394562637
"136",7854,14,"include",0.0077755394788775
"137",11034,14,"operation",0.00748357122524422
"138",11014,14,"operate",0.00734427915291575
"139",12894,14,"provide",0.00670539479461535
"140",39934,14,"aircraft",0.00653607364869266
"141",12655,15,"product",0.0213788167439899
"142",78415,15,"drug",0.0140902062145717
"143",77875,15,"clinical",0.0130804764941761
"144",125955,15,"trial",0.0109060288548515
"145",78635,15,"fda",0.0104613647353372
"146",23015,15,"patent",0.0102339526906728
"147",90855,15,"patient",0.0094006989210622
"148",4715,15,"development",0.00834098682042876
"149",24715,15,"study",0.00793635921031841
"150",1195,15,"approval",0.00774219089830432
"151",12656,16,"product",0.0351448477137742
"152",22416,16,"manufacture",0.0156598449376678
"153",9596,16,"market",0.0130922277885934
"154",4316,16,"customer",0.0128616085670706
"155",22456,16,"material",0.0127824422920556
"156",14516,16,"sale",0.012282942408731
"157",14816,16,"segment",0.00872730574690493
"158",7856,16,"include",0.00848126672438394
"159",6256,16,"facility",0.00748128415723149
"160",2256,16,"business",0.00745434186757526
"161",26697,17,"gas",0.0242908748470884
"162",22777,17,"oil",0.0209756096743774
"163",22717,17,"natural",0.0129600758086701
"164",12677,17,"production",0.0121074867395775
"165",59897,17,"drill",0.00951792942759496
"166",11037,17,"operation",0.00895137152643048
"167",63257,17,"mine",0.00861344710101049
"168",12817,17,"property",0.00790520983734699
"169",13557,17,"regulation",0.00749744291087525
"170",27597,17,"pipeline",0.00739928049220687
"171",16858,18,"trade",0.0147143872971717
"172",203078,18,"gaming",0.0135073217925347
"173",7638,18,"hotel",0.0123733832901253
"174",7018,18,"fund",0.0100340085050651
"175",145038,18,"casino",0.0087917267405721
"176",9598,18,"market",0.00768930741735769
"177",8978,18,"license",0.00696925396183237
"178",7038,18,"future",0.00663701800141158
"179",3918,18,"contract",0.00661615142751115
"180",28418,18,"trust",0.00650755751589115
"181",14979,19,"service",0.0336771589108777
"182",4319,19,"customer",0.0225915144321273
"183",12659,19,"product",0.0150148616714824
"184",50439,19,"solution",0.0123562594015714
"185",2259,19,"business",0.0122350949385119
"186",9599,19,"market",0.0118325620580384
"187",50599,19,"technology",0.0107243484060333
"188",2859,19,"client",0.0106488734909445
"189",46319,19,"software",0.0104859578629941
"190",27219,19,"management",0.00990542298004001
"191",14060,20,"result",0.0234403044734128
"192",9600,20,"market",0.0183109028507421
"193",2260,20,"business",0.0166365115895748
"194",11040,20,"operation",0.0145504640681408
"195",7040,20,"future",0.0133819043893113
"196",6620,20,"financial",0.011843270970403
"197",500,20,"affect",0.0102974755235959
"198",12340,20,"price",0.0102640972667099
"199",14520,20,"sale",0.00936376622228047
"200",4040,20,"cost",0.0093001364147178
